fighter,fighter_id,event_date,weight_class,win_rate,total_fights,current_streak,sig_str_per_min,td_att_per_min,td_success_per_min,ctrl_sec_per_min,kd_per_min,distance_str_per_min,clinch_str_per_min,ground_str_per_min,sub_att_per_min,distance_strike_ratio,clinch_strike_ratio,ground_strike_ratio,head_target_ratio,body_target_ratio,leg_target_ratio
Elias Theodorou,34f88592c0ab7a54,2019-05-04,Middleweight,0.7,10,-1,11.06724649582859,0.7575792754624013,0.180471453367924,31.76,0.0,7.498018999981336,2.9776244424121385,0.5916030534351144,0.0,0.662966495552446,0.2619242471797539,0.0751092572678,0.3839328400839271,0.361636036011013,0.2544311239050599
Eliot Marshall,a08d909a5be6f410,2011-10-29,Light Heavyweight,0.5,6,-3,3.8883720930232557,0.1697674418604651,0.056589147286821705,5.989922480620154,0.023255813953488372,3.41937984496124,0.34263565891472875,0.12635658914728684,0.11317829457364341,0.8228311439518338,0.1245894909688013,0.05257936507936508,0.7580514111820827,0.14732036465248807,0.09462822416542922
Elizabeth Phillips,dcbf01d605681ad1,2016-08-20,Women's Bantamweight,0.25,4,-1,6.57182953212994,0.48665835411471325,0.11221945137157108,51.25,0.0,5.1727172135885455,0.44495796931512277,0.9541543492262721,0.03740648379052369,0.6722753579043558,0.1262960706670728,0.20142857142857143,0.6954076555995533,0.11769418215047213,0.18689816224997463
Elvis Mutapcic,28c55b4087a6f136,2016-12-03,Middleweight,0.0,3,-3,8.220332355816227,0.0,0.0,20.60175953079179,0.0,4.183577712609971,2.2848484848484847,1.7519061583577713,0.0,0.5208427858439202,0.22558416515426497,0.2535730490018149,0.5968976860254084,0.27492627041742285,0.1281760435571688
Elvis Sinosic,817e0bdf08efce2e,2007-04-21,Light Heavyweight,0.14285714285714285,7,-6,1.227299016772701,0.01098901098901099,0.0,1.8690572585309428,0.028571428571428574,0.9360323886639677,0.2517061885482938,0.039560439560439566,0.1142857142857143,0.7909471480900052,0.1707875457875458,0.03826530612244898,0.29657247514390367,0.2477324263038549,0.4556950985522414
Emil Meek,103b06d8707895a9,2020-02-22,Welterweight,0.25,4,-3,3.9476991633685343,0.08905136857892763,0.02976190476190476,15.367790133787693,0.0,1.9620893415752838,0.7847786704483791,1.2008311513448715,0.0876278445430471,0.5383333333333333,0.17904761904761904,0.2826190476190476,0.7047619047619047,0.20523809523809522,0.09
Emily Ducote,02f8fedc18cbd26c,2024-05-18,Women's Strawweight,0.4,5,-1,22.359999999999996,0.28,0.04,2.4,0.0,21.6,0.64,0.12,0.0,0.9580136594828194,0.037790536321376536,0.004195804195804196,0.5737319767006508,0.2099254160388206,0.21634260726052856
Emily Kagan,c1ea9d56cd953586,2015-12-10,Women's Strawweight,0.0,2,-2,5.860714285714286,1.9714285714285715,0.2785714285714286,57.60000000000001,0.0,4.2214285714285715,1.6392857142857145,0.0,0.0,0.7488913525498891,0.25110864745011086,0.0,0.5692904656319291,0.22505543237250555,0.2056541019955654
Emily Whitmire,b3d21b2610dcfaeb,2021-09-18,Women's Flyweight,0.3333333333333333,6,-3,2.6333333333333333,0.20000000000000004,0.13333333333333333,23.899999999999995,0.0,2.0,0.20000000000000004,0.4333333333333334,0.03333333333333333,0.8321353698712189,0.09094539283218528,0.07691923729659579,0.6230857542178297,0.13306379155435757,0.2438504542278127
Emmanuel Yarborough,2299605af59fd309,1994-09-09,Open Weight,0.0,1,-1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Enrique Barzola,be0b310a12eb80b4,2020-03-14,Bantamweight,0.6,10,-2,10.15804650205283,1.5271852865529028,0.6527476796527271,37.980000000000004,0.0,7.7498536534893745,0.6335743615335799,1.7746184870298785,0.045785877725414224,0.6871164963779668,0.06627203653809337,0.24661146708393983,0.6053713709008288,0.21674828701909968,0.17788034208007142
Enrique Marin,23a6e307077c6ccc,2016-07-09,Lightweight,0.0,2,-2,3.7714285714285714,0.969642857142857,0.3678571428571429,50.7,0.0,3.2035714285714283,0.43392857142857144,0.13392857142857142,0.13392857142857142,0.8194444444444444,0.11805555555555555,0.0625,0.6712962962962963,0.11805555555555555,0.21064814814814814
Enson Inoue,0cf935519d439ba6,1997-05-30,Lightweight,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Eric Schafer,f59f1d3a2ff13edd,2012-01-20,Middleweight,0.3333333333333333,9,-4,2.9490377213240957,0.535078265332307,0.1863484731845009,24.483294842186297,0.0,1.2395175776238132,0.5009494482935591,1.2085706954067232,0.19317423659225047,0.3842282820060598,0.22073825351603127,0.39503346447790894,0.654244788133677,0.19804662415773527,0.1477085877085877
Eric Shelton,a0c64f272b65d441,2019-03-23,Flyweight,0.3333333333333333,6,-1,5.919743197133301,0.8925132791878306,0.4331391316410043,27.01451355661882,0.0,3.795573250077488,0.08194813633410125,2.042221810721712,0.03333333333333333,0.7122995497349947,0.019858051403094674,0.2678423988619106,0.7537080649735605,0.13832658240779708,0.10796535261864247
Eric Spicely,b9664eae2ac75262,2019-06-22,Middleweight,0.2857142857142857,7,-4,4.857142857142857,0.5714285714285714,0.1142857142857143,15.142857142857142,0.0,3.085714285714286,1.0857142857142856,0.6857142857142858,0.08571428571428573,0.4926014850384598,0.13092792672624606,0.37647058823529406,0.8600640256102441,0.08010982170646037,0.05982615268329554
Eric Wisely,53f84637dfffab7a,2012-04-14,Featherweight,0.0,2,-2,2.3135029354207437,0.05870841487279843,0.0,1.1283757338551859,0.0,2.137377690802348,0.1761252446183953,0.0,0.0,0.9583333333333333,0.041666666666666664,0.0,0.20833333333333334,0.4027777777777778,0.3888888888888889
Erick Gonzalez,a2ccf35a88346a91,2023-02-25,Lightweight,0.0,3,-3,2.0,0.6,0.3333333333333333,13.133333333333333,0.0,1.8,0.13333333333333333,0.06666666666666667,0.0,0.9285714285714285,0.047619047619047616,0.023809523809523808,0.6984126984126985,0.15608465608465608,0.1455026455026455
