fight_id,fighter_id,fighter,kd,sig_str,sig_str_pct,total_str,td,td_pct,sub_att,rev,ctrl,head,body,leg,distance,clinch,ground
1a66e67add5d55ef,3236bf606fe9fa5b,Travis Browne,0,6 of 27,22%,6 of 27,0 of 0,---,0,0,0:00,5 of 26,1 of 1,0 of 0,6 of 27,0 of 0,0 of 0
2592954ad51764b0,0941df56f6ac954b,Johny Hendricks,2,28 of 42,66%,34 of 48,0 of 1,0%,0,0,0:51,21 of 34,5 of 6,2 of 2,10 of 21,4 of 6,14 of 15
2592954ad51764b0,98f6da59d765ec94,Charlie Brenneman,0,9 of 33,27%,15 of 40,2 of 4,50%,0,0,2:07,7 of 31,2 of 2,0 of 0,3 of 19,6 of 14,0 of 0
d14f98b24691d082,6e743a33d56bdaa4,Payton Talbott,0,49 of 84,58%,59 of 95,1 of 1,100%,0,0,1:25,39 of 74,7 of 7,3 of 3,37 of 67,7 of 10,5 of 7
d14f98b24691d082,b9f28e7045fdfce7,Raoni Barcelos,0,62 of 85,72%,91 of 115,8 of 15,53%,2,0,9:43,59 of 81,2 of 3,1 of 1,18 of 30,5 of 5,39 of 50
931fd51ab69fb443,7026eca45f65377b,Jared Gordon,0,82 of 131,62%,138 of 191,2 of 7,28%,0,0,6:07,41 of 89,19 of 20,22 of 22,67 of 110,6 of 8,9 of 13
931fd51ab69fb443,0de720c0f1d4ab9c,Danny Chavez,0,39 of 113,34%,42 of 116,1 of 1,100%,0,0,0:10,23 of 91,5 of 8,11 of 14,38 of 112,1 of 1,0 of 0
2798c746fe93502a,6a1901c62ab3870f,Jessica Andrade,0,19 of 24,79%,44 of 52,1 of 1,100%,2,0,4:23,14 of 19,5 of 5,0 of 0,1 of 4,0 of 0,18 of 20
2798c746fe93502a,16b89be2f5c16fba,Larissa Pacheco,0,6 of 13,46%,11 of 18,0 of 1,0%,0,0,0:00,5 of 12,1 of 1,0 of 0,3 of 8,1 of 1,2 of 4
f32d918ee06cb83b,547afe1017e72dbe,Phil Hawes,0,11 of 26,42%,15 of 31,1 of 1,100%,0,0,0:46,5 of 15,5 of 9,1 of 2,11 of 26,0 of 0,0 of 0
